iter,x,erro
32,"[0.07142857128305227, 0.09821428556876656, 0.07142857135581185, 0.18749999985448085, 0.24999999985448085, 0.18749999992724042, 0.428571428498669, 0.5267857142129547, 0.4285714285350488]",2.7623974674613513e-10
33,"[0.07142857135581185, 0.09821428564152614, 0.07142857139219164, 0.18749999992724042, 0.24999999992724042, 0.1874999999636202, 0.4285714285350488, 0.5267857142493345, 0.4285714285532387]",1.38119873363529e-10
34,"[0.07142857139219164, 0.09821428567790592, 0.07142857141038153, 0.1874999999636202, 0.2499999999636202, 0.1874999999818101, 0.4285714285532387, 0.5267857142675244, 0.42857142856233366]",6.905993667937986e-11
35,"[0.07142857141038153, 0.09821428569609582, 0.07142857141947648, 0.1874999999818101, 0.2499999999818101, 0.18749999999090505, 0.42857142856233366, 0.5267857142766194, 0.42857142856688113]",3.452996833909377e-11
36,"[0.07142857141947648, 0.09821428570519077, 0.07142857142402395, 0.18749999999090505, 0.24999999999090505, 0.18749999999545253, 0.42857142856688113, 0.5267857142811668, 0.42857142856915487]",1.7264984169397848e-11
37,"[0.07142857142402395, 0.09821428570973824, 0.07142857142629769, 0.18749999999545253, 0.24999999999545253, 0.18749999999772626, 0.42857142856915487, 0.5267857142834406, 0.42857142857029173]",8.632492084661664e-12
38,"[0.07142857142629769, 0.09821428571201198, 0.07142857142743456, 0.18749999999772626, 0.24999999999772626, 0.18749999999886313, 0.42857142857029173, 0.5267857142845774, 0.42857142857086017]",4.316246042321516e-12
39,"[0.07142857142743456, 0.09821428571314884, 0.07142857142800299, 0.18749999999886313, 0.24999999999886313, 0.18749999999943157, 0.42857142857086017, 0.5267857142851459, 0.4285714285711444]",2.1581230211584297e-12
40,"[0.07142857142800299, 0.09821428571371728, 0.07142857142828721, 0.18749999999943157, 0.24999999999943157, 0.18749999999971578, 0.4285714285711444, 0.5267857142854301, 0.4285714285712865]",1.0790615105786326e-12
41,"[0.07142857142828721, 0.0982142857140015, 0.07142857142842932, 0.18749999999971578, 0.24999999999971578, 0.1874999999998579, 0.4285714285712865, 0.5267857142855722, 0.42857142857135755]",5.395307552891708e-13
