iter,x,erro_abs,erro_rel
23,"[32.130650112230796, 49.981689453125, 67.8449358252692, 28.553118025592994, 49.9755859375, 71.410260880657, 32.130650112230796, 49.981689453125, 67.8449358252692]",0.01220703125,0.0001709422581497183
24,"[32.1337018696795, 49.98779296875, 67.8479875834455, 28.559221540490398, 49.981689453125, 71.4163643970096, 32.1337018696795, 49.98779296875, 67.8479875834455]",0.006103516352595761,8.546383457250495e-05
25,"[32.1367536273101, 49.9908447265625, 67.8510393414399, 28.562273298121, 49.98779296875, 71.419416155004, 32.1367536273101, 49.9908447265625, 67.8510393414399]",0.006103515625,8.546017250761797e-05
26,"[32.138279506170875, 49.993896484375, 67.85256522039163, 28.56532505584255, 49.9908447265625, 71.42246791290745, 32.138279506170875, 49.993896484375, 67.85256522039163]",0.00305175790344947,4.272826174490055e-05
27,"[32.13980538505439, 49.99542236328125, 67.85409109932061, 28.566850934726062, 49.993896484375, 71.42399379183644, 32.13980538505439, 49.99542236328125, 67.85409109932061]",0.0030517578125,4.272734763886596e-05
28,"[32.14056832450183, 49.9969482421875, 67.85485403877942, 28.568376813620944, 49.99542236328125, 71.42551967075406, 32.14056832450183, 49.9969482421875, 67.85485403877942]",0.0015258789176186838,2.1363217581789203e-05
29,"[32.14133126395211, 49.997711181640625, 67.85561697823539, 28.569139753071227, 49.9969482421875, 71.42628261021002, 32.14133126395211, 49.997711181640625, 67.85561697823539]",0.00152587890625,2.1362989231528106e-05
30,"[32.14171273367796, 49.99847412109375, 67.85599844796266, 28.56990269252293, 49.997711181640625, 71.42704554966457, 32.14171273367796, 49.99847412109375, 67.85599844796266]",0.0007629394545460855,1.0681380542550921e-05
31,"[32.14209420340417, 49.99885559082031, 67.85637991768958, 28.570284162249138, 49.99847412109375, 71.42742701939149, 32.14209420340417, 49.99885559082031, 67.85637991768958]",0.000762939453125,1.0681323477014975e-05
32,"[32.142284938267366, 49.999237060546875, 67.85657065255295, 28.570665631975523, 49.99885559082031, 71.42780848911823, 32.142284938267366, 49.999237060546875, 67.85657065255295]",0.0003814697267472411,5.340633218578401e-06
